Geo_Code,Prov_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
12,Nova Scotia,Population and dwelling counts,Population in 2006,1,913462,,,,,
12,Nova Scotia,Population and dwelling counts,Population in 2001,1,908007,,,,,
12,Nova Scotia,Population and dwelling counts,2001 to 2006 population change (%),,0.6,,,,,
12,Nova Scotia,Population and dwelling counts,Total private dwellings,2,425681,,,,,
12,Nova Scotia,Population and dwelling counts,Private dwellings occupied by usual residents,3,376829,,,,,
12,Nova Scotia,Population and dwelling counts,Population density per square kilometre,,17.3,,,,,
12,Nova Scotia,Population and dwelling counts,Land area (square km),,52917.4571,,,,,
12,Nova Scotia,Age characteristics,Total population,4,913460,,439830,,473630,
12,Nova Scotia,Age characteristics,   0 to 4 years,,42040,,21295,,20745,
12,Nova Scotia,Age characteristics,   5 to 9 years,,48145,,24645,,23500,
12,Nova Scotia,Age characteristics,   10 to 14 years,,56245,,28560,,27685,
12,Nova Scotia,Age characteristics,   15 to 19 years,,61440,,31185,,30250,
12,Nova Scotia,Age characteristics,   20 to 24 years,,56775,,28055,,28720,
12,Nova Scotia,Age characteristics,   25 to 29 years,,50595,,23910,,26685,
12,Nova Scotia,Age characteristics,   30 to 34 years,,54635,,25870,,28765,
12,Nova Scotia,Age characteristics,   35 to 39 years,,60935,,29300,,31635,
12,Nova Scotia,Age characteristics,   40 to 44 years,,75720,,36670,,39055,
12,Nova Scotia,Age characteristics,   45 to 49 years,,77205,,37410,,39800,
12,Nova Scotia,Age characteristics,   50 to 54 years,,71705,,34755,,36945,
12,Nova Scotia,Age characteristics,   55 to 59 years,,67880,,33285,,34600,
12,Nova Scotia,Age characteristics,   60 to 64 years,,51920,,25475,,26450,
12,Nova Scotia,Age characteristics,   65 to 69 years,,40155,,19400,,20760,
12,Nova Scotia,Age characteristics,   70 to 74 years,,33140,,15570,,17575,
12,Nova Scotia,Age characteristics,   75 to 79 years,,26435,,11340,,15100,
12,Nova Scotia,Age characteristics,   80 to 84 years,,19870,,7545,,12325,
12,Nova Scotia,Age characteristics,   85 years and over,,18610,,5565,,13050,
12,Nova Scotia,Age characteristics,Median age of the population,5,41.8,,41.1,,42.5,
12,Nova Scotia,Age characteristics,% of the population aged 15 and over,,84,,83.1,,84.8,
12,Nova Scotia,Common-law status characteristics,Total population 15 years and over,6,767025,,365330,,401695,
12,Nova Scotia,Common-law status characteristics,   Not in a common-law relationship,,698675,,331250,,367425,
12,Nova Scotia,Common-law status characteristics,   In a common-law relationship,,68350,,34080,,34270,
12,Nova Scotia,Legal marital status characteristics,Total population 15 years and over,7,767030,,365330,,401700,
12,Nova Scotia,Legal marital status characteristics,   Never legally married (single),8,246770,,127825,,118950,
12,Nova Scotia,Legal marital status characteristics,   Legally married (and not separated),9,379600,,189740,,189865,
12,Nova Scotia,Legal marital status characteristics,"   Separated, but still legally married",10,27460,,12105,,15355,
12,Nova Scotia,Legal marital status characteristics,   Divorced,11,58385,,25365,,33025,
12,Nova Scotia,Legal marital status characteristics,   Widowed,12,54805,,10300,,44505,
12,Nova Scotia,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,13,376845,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,,67.3,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,,5,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,,2.1,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,"   Apartments, duplex - as a % of total occupied private dwellings",14,3.1,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,14,14.5,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,,4,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,15,3.9,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Number of owned dwellings,16,271155,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Number of rented dwellings,17,103870,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Number of dwellings constructed before 1986,,270960,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Number of dwellings constructed between 1986 and 2006,18,105885,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Dwellings requiring major repair - as a % of total occupied private dwellings,,9.5,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Average number of rooms per dwelling,19,6.7,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Dwellings with more than one person per room - as a % of total occupied private dwellings,19,0.4,,,,,
12,Nova Scotia,Occupied private dwelling characteristics,Average value of owned dwelling ($),20,158000,,,,,
12,Nova Scotia,Selected family characteristics,Total number of census families,21,267415,,,,,
12,Nova Scotia,Selected family characteristics,   Number of married-couple families,22,187425,,,,,
12,Nova Scotia,Selected family characteristics,   Number of common-law-couple families,23,34700,,,,,
12,Nova Scotia,Selected family characteristics,   Number of lone-parent families,,45290,,,,,
12,Nova Scotia,Selected family characteristics,      Number of female lone-parent families,,37280,,,,,
12,Nova Scotia,Selected family characteristics,      Number of male lone-parent families,,8010,,,,,
12,Nova Scotia,Selected family characteristics,Average number of persons in all census families,,2.8,,,,,
12,Nova Scotia,Selected family characteristics,   Average number of persons in married-couple families,22,2.9,,,,,
12,Nova Scotia,Selected family characteristics,   Average number of persons in common-law-couple families,23,2.7,,,,,
12,Nova Scotia,Selected family characteristics,   Average number of persons in lone-parent families,,2.5,,,,,
12,Nova Scotia,Selected family characteristics,      Average number of persons in female lone-parent families,,2.5,,,,,
12,Nova Scotia,Selected family characteristics,      Average number of persons in male lone-parent families,,2.3,,,,,
12,Nova Scotia,Selected family characteristics,Median income in 2005 - All census families ($),24,55412,,,,,
12,Nova Scotia,Selected family characteristics,   Median income in 2005 - Married-couple families ($),22,63843,,,,,
12,Nova Scotia,Selected family characteristics,   Median income in 2005 - Common-law-couple families ($),23,50617,,,,,
12,Nova Scotia,Selected family characteristics,   Median income in 2005 - Lone-parent families ($),,29917,,,,,
12,Nova Scotia,Selected family characteristics,      Median income in 2005 - Female lone-parent families ($),,28330,,,,,
12,Nova Scotia,Selected family characteristics,      Median income in 2005 - Male lone-parent families ($),,39709,,,,,
12,Nova Scotia,Selected family characteristics,Median after-tax income in 2005 - All census families ($),24,47850,,,,,
12,Nova Scotia,Selected family characteristics,   Median after-tax income in 2005 - Married-couple families ($),22,54078,,,,,
12,Nova Scotia,Selected family characteristics,   Median after-tax income in 2005 - Common-law-couple families ($),,44038,,,,,
12,Nova Scotia,Selected family characteristics,   Median after-tax income in 2005 - Lone-parent families ($),,28555,,,,,
12,Nova Scotia,Selected family characteristics,      Median after-tax income in 2005 - Female lone-parent families ($),,27344,,,,,
12,Nova Scotia,Selected family characteristics,      Median after-tax income in 2005 - Male lone-parent families ($),,35246,,,,,
12,Nova Scotia,Selected household characteristics,Total private households,25,376845,,,,,
12,Nova Scotia,Selected household characteristics,   Households containing a couple (married or common-law) with children,26,96260,,,,,
12,Nova Scotia,Selected household characteristics,   Households containing a couple (married or common-law) without children,27,120105,,,,,
12,Nova Scotia,Selected household characteristics,   One-person households,,99945,,,,,
12,Nova Scotia,Selected household characteristics,   Other household types,28,60530,,,,,
12,Nova Scotia,Selected household characteristics,Median income in 2005 - All private households ($),29,46605,,,,,
12,Nova Scotia,Selected household characteristics,   Median income in 2005 - Couple households with children ($),26,73048,,,,,
12,Nova Scotia,Selected household characteristics,   Median income in 2005 - Couple households without children ($),27,54959,,,,,
12,Nova Scotia,Selected household characteristics,   Median income in 2005 - One-person households ($),,22395,,,,,
12,Nova Scotia,Selected household characteristics,   Median income in 2005 - Other household types ($),28,37588,,,,,
12,Nova Scotia,Selected household characteristics,Median after-tax income in 2005 - All private households ($),29,40591,,,,,
12,Nova Scotia,Selected household characteristics,   Median after-tax income in 2005 - Couple households with children ($),26,61331,,,,,
12,Nova Scotia,Selected household characteristics,   Median after-tax income in 2005 - Couple households without children ($),27,47312,,,,,
12,Nova Scotia,Selected household characteristics,   Median after-tax income in 2005 - One-person households ($),,20414,,,,,
12,Nova Scotia,Selected household characteristics,   Median after-tax income in 2005 - Other household types ($),28,34781,,,,,
12,Nova Scotia,Selected household characteristics,Median monthly payments for rented dwellings ($),30,641,,,,,
12,Nova Scotia,Selected household characteristics,Median monthly payments for owner-occupied dwellings ($),31,625,,,,,
12,Nova Scotia,Selected household characteristics,Average household size,,2.4,,,,,
12,Nova Scotia,Mother tongue,Total population,32,903090,,435565,,467525,
12,Nova Scotia,Mother tongue,   English only,,832105,,400930,,431175,
12,Nova Scotia,Mother tongue,   French only,,32540,,15655,,16885,
12,Nova Scotia,Mother tongue,   English and French,,2100,,1055,,1045,
12,Nova Scotia,Mother tongue,   Other language(s),33,36345,,17925,,18415,
12,Nova Scotia,Knowledge of official languages,Total population,34,903090,,435570,,467525,
12,Nova Scotia,Knowledge of official languages,   English only,,805690,,392225,,413470,
12,Nova Scotia,Knowledge of official languages,   French only,,1000,,470,,530,
12,Nova Scotia,Knowledge of official languages,   English and French,,95010,,42245,,52770,
12,Nova Scotia,Knowledge of official languages,   Neither English nor French,,1385,,630,,755,
12,Nova Scotia,Language spoken most often at home,Total population,35,903090,,435565,,467525,
12,Nova Scotia,Language spoken most often at home,   English,,866685,,417715,,448970,
12,Nova Scotia,Language spoken most often at home,   French,,17165,,8270,,8895,
12,Nova Scotia,Language spoken most often at home,   Non-official language,,15700,,7835,,7865,
12,Nova Scotia,Language spoken most often at home,   English and French,,1310,,610,,700,
12,Nova Scotia,Language spoken most often at home,   English and non-official language,,2125,,1090,,1030,
12,Nova Scotia,Language spoken most often at home,   French and non-official language,,85,,40,,40,
12,Nova Scotia,Language spoken most often at home,"   English, French and non-official language",,25,,0,,25,
12,Nova Scotia,Immigrant status and period of immigration,Total population,36,903090,,435570,,467520,
12,Nova Scotia,Immigrant status and period of immigration,   Non-immigrants,37,854495,,412430,,442065,
12,Nova Scotia,Immigrant status and period of immigration,   Immigrants,38,45195,,21330,,23860,
12,Nova Scotia,Immigrant status and period of immigration,      Before 1991,,30305,,13990,,16320,
12,Nova Scotia,Immigrant status and period of immigration,      1991 to 2000,,7985,,3930,,4060,
12,Nova Scotia,Immigrant status and period of immigration,      2001 to 2006,39,6900,,3415,,3485,
12,Nova Scotia,Immigrant status and period of immigration,   Non-permanent residents,40,3405,,1805,,1595,
12,Nova Scotia,Citizenship,Total population,41,903090,,435565,,467520,
12,Nova Scotia,Citizenship,   Canadian citizens,,887995,,428405,,459585,
12,Nova Scotia,Citizenship,      Canadian citizens under age 18,,182285,,93290,,88995,
12,Nova Scotia,Citizenship,      Canadian citizens age 18 and over,,705710,,335120,,370595,
12,Nova Scotia,Citizenship,   Not Canadian citizens,42,15095,,7160,,7935,
12,Nova Scotia,Generation status,Total population 15 years and over,43,756595,,361155,,395440,
12,Nova Scotia,Generation status,   1st generation,44,47850,,22975,,24875,
12,Nova Scotia,Generation status,   2nd generation,45,55160,,25965,,29195,
12,Nova Scotia,Generation status,   3rd generation or more,46,653585,,312220,,341365,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,Total population 1 year and over,47,894570,,431510,,463060,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,   Lived at the same address 1 year ago,,785165,,379310,,405850,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses within the same census subdivision (municipality)",,69425,,32505,,36920,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses from another census subdivision (municipality) within the same province or territory",,20800,,9920,,10880,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,   Lived in a different province or territory 1 year ago,,15190,,7770,,7425,
12,Nova Scotia,Mobility status - Place of residence 1 year ago,   Lived in a different country 1 year ago,,3990,,2000,,1990,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,Total population 5 years and over,48,860670,,414005,,446665,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,   Lived at the same address 5 years ago,,575240,,279185,,296055,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses within the same census subdivision (municipality)",,170625,,80205,,90420,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses from another census subdivision (municipality) within the same province or territory",,54945,,25575,,29370,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,   Lived in a different province or territory 5 years ago,,48035,,23235,,24800,
12,Nova Scotia,Mobility status - Place of residence 5 years ago,   Lived in a different country 5 years ago,,11820,,5800,,6020,
12,Nova Scotia,Aboriginal population,Total Aboriginal and non-Aboriginal identity population,49,903090,,435570,,467520,
12,Nova Scotia,Aboriginal population,   Aboriginal identity population,50,24175,,11770,,12405,
12,Nova Scotia,Aboriginal population,   Non-Aboriginal identity population,,878915,,423800,,455120,
12,Nova Scotia,Educational attainment,Total population 15 years and over,51,756595,,361155,,395440,
12,Nova Scotia,Educational attainment,"   No certificate, diploma or degree",,202775,,102045,,100725,
12,Nova Scotia,Educational attainment,   High school certificate or equivalent,52,172800,,78795,,94000,
12,Nova Scotia,Educational attainment,   Apprenticeship or trades certificate or diploma,,90420,,55800,,34615,
12,Nova Scotia,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",53,135975,,57010,,78960,
12,Nova Scotia,Educational attainment,   University certificate or diploma below the bachelor level,,30650,,11595,,19050,
12,Nova Scotia,Educational attainment,"   University certificate, diploma or degree",,123980,,55895,,68085,
12,Nova Scotia,Educational attainment,Total population aged 15 to 24,54,117770,,59755,,58015,
12,Nova Scotia,Educational attainment,"   No certificate, diploma or degree",,51165,,27930,,23235,
12,Nova Scotia,Educational attainment,   High school certificate or equivalent,55,41635,,20235,,21400,
12,Nova Scotia,Educational attainment,   Apprenticeship or trades certificate or diploma,,3900,,2455,,1440,
12,Nova Scotia,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",56,8675,,4290,,4380,
12,Nova Scotia,Educational attainment,   University certificate or diploma below the bachelor level,,2375,,1130,,1255,
12,Nova Scotia,Educational attainment,"   University certificate, diploma or degree",,10015,,3715,,6305,
12,Nova Scotia,Educational attainment,Total population aged 25 to 34,57,104750,,49345,,55405,
12,Nova Scotia,Educational attainment,"   No certificate, diploma or degree",,12060,,7230,,4825,
12,Nova Scotia,Educational attainment,   High school certificate or equivalent,58,23190,,11880,,11310,
12,Nova Scotia,Educational attainment,   Apprenticeship or trades certificate or diploma,,10190,,6035,,4155,
12,Nova Scotia,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",59,26505,,11565,,14945,
12,Nova Scotia,Educational attainment,   University certificate or diploma below the bachelor level,,4030,,1805,,2230,
12,Nova Scotia,Educational attainment,"   University certificate, diploma or degree",,28775,,10830,,17940,
12,Nova Scotia,Educational attainment,Total population aged 35 to 64,60,402995,,194650,,208345,
12,Nova Scotia,Educational attainment,"   No certificate, diploma or degree",,82220,,42875,,39340,
12,Nova Scotia,Educational attainment,   High school certificate or equivalent,61,82865,,37550,,45320,
12,Nova Scotia,Educational attainment,   Apprenticeship or trades certificate or diploma,,60525,,36925,,23600,
12,Nova Scotia,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",62,85005,,35720,,49285,
12,Nova Scotia,Educational attainment,   University certificate or diploma below the bachelor level,,18420,,6750,,11675,
12,Nova Scotia,Educational attainment,"   University certificate, diploma or degree",,73955,,34830,,39130,
12,Nova Scotia,Major field of study,Total population 15 years and over,63,756595,,361155,,395435,
12,Nova Scotia,Major field of study,"   No postsecondary certificate, diploma or degree",,375570,,180845,,194720,
12,Nova Scotia,Major field of study,   Education,,31460,,8345,,23115,
12,Nova Scotia,Major field of study,"   Visual and performing arts, and communications technologies",,8725,,4175,,4550,
12,Nova Scotia,Major field of study,   Humanities,,18195,,7225,,10970,
12,Nova Scotia,Major field of study,   Social and behavioural sciences and law,,30195,,9220,,20980,
12,Nova Scotia,Major field of study,"   Business, management and public administration",,86670,,23920,,62750,
12,Nova Scotia,Major field of study,   Physical and life sciences and technologies,,12660,,6740,,5915,
12,Nova Scotia,Major field of study,"   Mathematics, computer and information sciences",,14975,,7790,,7185,
12,Nova Scotia,Major field of study,"   Architecture, engineering, and related technologies",,88860,,84685,,4170,
12,Nova Scotia,Major field of study,"   Agriculture, natural resources and conservation",,6855,,4630,,2225,
12,Nova Scotia,Major field of study,"   Health, parks, recreation and fitness",,54675,,8435,,46245,
12,Nova Scotia,Major field of study,"   Personal, protective and transportation services",,27730,,15135,,12595,
12,Nova Scotia,Major field of study,   Other,64,15,,10,,10,
12,Nova Scotia,Location of study,Total population 15 years and over,65,756595,,361155,,395440,
12,Nova Scotia,Location of study,"   No postsecondary certificate, diploma or degree",,375570,,180845,,194720,
12,Nova Scotia,Location of study,"   Postsecondary certificate, diploma or degree",,381025,,180310,,200720,
12,Nova Scotia,Location of study,      Inside Canada,,359365,,169190,,190170,
12,Nova Scotia,Location of study,      Outside Canada,,21660,,11120,,10540,
12,Nova Scotia,Labour force activity,Total population 15 years and over,66,756595,,361155,,395440,
12,Nova Scotia,Labour force activity,   In the labour force,67,476125,,245950,,230170,
12,Nova Scotia,Labour force activity,      Employed,68,432595,,222990,,209600,
12,Nova Scotia,Labour force activity,      Unemployed,69,43530,,22960,,20570,
12,Nova Scotia,Labour force activity,   Not in the labour force,70,280470,,115210,,165265,
12,Nova Scotia,Labour force activity,Participation rate,71,62.9,,68.1,,58.2,
12,Nova Scotia,Labour force activity,Employment rate,72,57.2,,61.7,,53,
12,Nova Scotia,Labour force activity,Unemployment rate,73,9.1,,9.3,,8.9,
12,Nova Scotia,Occupation,Total experienced labour force 15 years and over,74,468590,,242580,,226005,
12,Nova Scotia,Occupation,   A  Management occupations,75,41700,,25430,,16270,
12,Nova Scotia,Occupation,"   B  Business, finance and administration occupations",,79440,,21210,,58230,
12,Nova Scotia,Occupation,   C  Natural and applied sciences and related occupations,,25025,,19975,,5050,
12,Nova Scotia,Occupation,   D  Health occupations,,31120,,5570,,25555,
12,Nova Scotia,Occupation,"   E  Occupations in social science, education, government service and religion",,39350,,13170,,26180,
12,Nova Scotia,Occupation,"   F  Occupations in art, culture, recreation and sport",,12740,,5440,,7300,
12,Nova Scotia,Occupation,   G  Sales and service occupations,,122870,,49815,,73050,
12,Nova Scotia,Occupation,"   H  Trades, transport and equipment operators and related occupations",,69965,,66445,,3525,
12,Nova Scotia,Occupation,   I  Occupations unique to primary industry,,24490,,20805,,3685,
12,Nova Scotia,Occupation,"   J  Occupations unique to processing, manufacturing and utilities",,21890,,14720,,7170,
12,Nova Scotia,Industry,Total experienced labour force 15 years and over,76,468590,,242580,,226005,
12,Nova Scotia,Industry,   Agriculture and other resource-based industries,,27400,,22180,,5220,
12,Nova Scotia,Industry,   Construction,,29965,,27200,,2765,
12,Nova Scotia,Industry,   Manufacturing,,41710,,30090,,11620,
12,Nova Scotia,Industry,   Wholesale trade,,16440,,11545,,4895,
12,Nova Scotia,Industry,   Retail trade,,58565,,24400,,34165,
12,Nova Scotia,Industry,   Finance and real estate,,21355,,8680,,12675,
12,Nova Scotia,Industry,   Health care and social services,,54695,,9460,,45235,
12,Nova Scotia,Industry,   Educational services,,34690,,11635,,23055,
12,Nova Scotia,Industry,   Business services,,80930,,47340,,33585,
12,Nova Scotia,Industry,   Other services,,102840,,50045,,52795,
12,Nova Scotia,Unpaid work,Population 15 years and over reporting hours of unpaid work,77,689655,,319915,,369740,
12,Nova Scotia,Unpaid work,Population 15 years and over reporting hours of unpaid housework,78,681725,,315085,,366640,
12,Nova Scotia,Unpaid work,Population 15 years and over reporting hours looking after children without pay,79,262230,,111765,,150465,
12,Nova Scotia,Unpaid work,Population 15 years and over reporting hours of unpaid care or assistance to seniors,80,134205,,53555,,80655,
12,Nova Scotia,Language used most often at work,Total population 15 years and over who worked since 2005,81,515655,,264860,,250795,
12,Nova Scotia,Language used most often at work,   English,,504425,,259565,,244860,
12,Nova Scotia,Language used most often at work,   French,,6995,,3185,,3810,
12,Nova Scotia,Language used most often at work,   Non-official language,,1475,,855,,620,
12,Nova Scotia,Language used most often at work,   English and French,,2190,,1020,,1175,
12,Nova Scotia,Language used most often at work,   English and non-official language,,505,,205,,300,
12,Nova Scotia,Language used most often at work,   French and non-official language,,30,,20,,10,
12,Nova Scotia,Language used most often at work,"   English, French and non-official language",,30,,15,,20,
12,Nova Scotia,Place of work status,Total employed labour force 15 years and over,82,432595,,222990,,209600,
12,Nova Scotia,Place of work status,   Worked at home,,27820,,14150,,13670,
12,Nova Scotia,Place of work status,   Worked outside Canada,,1815,,1315,,505,
12,Nova Scotia,Place of work status,   No fixed workplace address,,48725,,38645,,10075,
12,Nova Scotia,Place of work status,   Worked at usual place,,354235,,168880,,185360,
12,Nova Scotia,Place of work status,      Worked in census subdivision (municipality) of residence,,256450,,120140,,136305,
12,Nova Scotia,Place of work status,      Worked in a different census subdivision (municipality) within the census division (county) of residence,,63545,,29080,,34470,
12,Nova Scotia,Place of work status,      Worked in a different census division (county),,29470,,16525,,12950,
12,Nova Scotia,Place of work status,      Worked in a different province,,4765,,3130,,1635,
12,Nova Scotia,Mode of transportation to work,Total employed labour force 15 years and over with a usual place of work or no fixed workplace address,83,402960,,207525,,195430,
12,Nova Scotia,Mode of transportation to work,"   Car, truck, van, as driver",,293225,,158030,,135195,
12,Nova Scotia,Mode of transportation to work,"   Car, truck, van, as passenger",,43705,,18740,,24965,
12,Nova Scotia,Mode of transportation to work,   Public transit,,23965,,9725,,14235,
12,Nova Scotia,Mode of transportation to work,   Walked or bicycled,,35645,,17145,,18500,
12,Nova Scotia,Mode of transportation to work,   All other modes,,6415,,3885,,2530,
12,Nova Scotia,Visible minority population characteristics,Total population,84,903090,,435565,,467520,
12,Nova Scotia,Visible minority population characteristics,   Total visible minority population,85,37685,,18250,,19430,
12,Nova Scotia,Visible minority population characteristics,      Chinese,,4305,,1965,,2340,
12,Nova Scotia,Visible minority population characteristics,      South Asian,86,3810,,2030,,1775,
12,Nova Scotia,Visible minority population characteristics,      Black,,19230,,9150,,10080,
12,Nova Scotia,Visible minority population characteristics,      Filipino,,700,,255,,440,
12,Nova Scotia,Visible minority population characteristics,      Latin American,,955,,505,,450,
12,Nova Scotia,Visible minority population characteristics,      Southeast Asian,87,815,,400,,420,
12,Nova Scotia,Visible minority population characteristics,      Arab,,4505,,2410,,2095,
12,Nova Scotia,Visible minority population characteristics,      West Asian,88,775,,390,,385,
12,Nova Scotia,Visible minority population characteristics,      Korean,,795,,415,,380,
12,Nova Scotia,Visible minority population characteristics,      Japanese,,500,,215,,290,
12,Nova Scotia,Visible minority population characteristics,"      Visible minority, n.i.e.",89,260,,95,,160,
12,Nova Scotia,Visible minority population characteristics,      Multiple visible minority,90,1035,,420,,610,
12,Nova Scotia,Visible minority population characteristics,   Not a visible minority,91,865405,,417315,,448090,
12,Nova Scotia,Earnings in 2005,Persons 15 years and over with earnings (counts),92,508305,,260905,,247395,
12,Nova Scotia,Earnings in 2005,   Median earnings - Persons 15 years and over ($),93,22608,,28223,,17984,
12,Nova Scotia,Earnings in 2005,"      Persons 15 years and over with earnings who worked full year, full time (counts)",94,255050,,141095,,113955,
12,Nova Scotia,Earnings in 2005,"         Median earnings - Persons 15 years and over who worked full year, full time ($)",93,36917,,42328,,31516,
12,Nova Scotia,Income in 2005,Persons 15 years and over with income (counts),95,718340,,345685,,372655,
12,Nova Scotia,Income in 2005,   Median income - Persons 15 years and over ($),96,22815,,29592,,18053,
12,Nova Scotia,Income in 2005,   Median income after tax - Persons 15 years and over ($),96,20778,,25955,,17119,
12,Nova Scotia,Income in 2005,   Composition of total income (100%),97,100,,100,,100,
12,Nova Scotia,Income in 2005,      Earnings - As a % of total income,,70.2,,73.4,,65.7,
12,Nova Scotia,Income in 2005,      Government transfers - As a % of total income,,15.1,,11.8,,19.9,
12,Nova Scotia,Income in 2005,      Other money - As a % of total income,,14.6,,14.8,,14.5,
12,Nova Scotia,Income in 2005,   Income status of all persons in private households (counts),98,891010,,429725,,461285,
12,Nova Scotia,Income in 2005,      % in low income before tax - All persons,,13.8,,12.4,,15.2,
12,Nova Scotia,Income in 2005,      % in low income after tax - All persons,,9.6,,8.9,,10.2,
12,Nova Scotia,Income in 2005,      % in low income before tax - Persons less than 18 years of age,,16.6,,16.7,,16.5,
12,Nova Scotia,Income in 2005,      % in low income after tax - Persons less than 18 years of age,,11.5,,11.6,,11.4,
13,New Brunswick,Population and dwelling counts,Population in 2006,1,729997,,,,,
13,New Brunswick,Population and dwelling counts,Population in 2001,1,729498,,,,,
13,New Brunswick,Population and dwelling counts,2001 to 2006 population change (%),,0.1,,,,,
13,New Brunswick,Population and dwelling counts,Total private dwellings,2,331619,,,,,
13,New Brunswick,Population and dwelling counts,Private dwellings occupied by usual residents,3,295871,,,,,
13,New Brunswick,Population and dwelling counts,Population density per square kilometre,,10.2,,,,,
13,New Brunswick,Population and dwelling counts,Land area (square km),,71355.1241,,,,,
13,New Brunswick,Age characteristics,Total population,4,729995,,355500,,374500,
13,New Brunswick,Age characteristics,   0 to 4 years,,34435,,17555,,16875,
13,New Brunswick,Age characteristics,   5 to 9 years,,38875,,20070,,18810,
13,New Brunswick,Age characteristics,   10 to 14 years,,44940,,23030,,21910,
13,New Brunswick,Age characteristics,   15 to 19 years,,47700,,24465,,23235,
13,New Brunswick,Age characteristics,   20 to 24 years,,44625,,22310,,22320,
13,New Brunswick,Age characteristics,   25 to 29 years,,41805,,20280,,21525,
13,New Brunswick,Age characteristics,   30 to 34 years,,45695,,22015,,23675,
13,New Brunswick,Age characteristics,   35 to 39 years,,49415,,24090,,25320,
13,New Brunswick,Age characteristics,   40 to 44 years,,60035,,29350,,30680,
13,New Brunswick,Age characteristics,   45 to 49 years,,61435,,30100,,31330,
13,New Brunswick,Age characteristics,   50 to 54 years,,58640,,28645,,29990,
13,New Brunswick,Age characteristics,   55 to 59 years,,54435,,27005,,27435,
13,New Brunswick,Age characteristics,   60 to 64 years,,40330,,20085,,20245,
13,New Brunswick,Age characteristics,   65 to 69 years,,31285,,15330,,15960,
13,New Brunswick,Age characteristics,   70 to 74 years,,25565,,11860,,13700,
13,New Brunswick,Age characteristics,   75 to 79 years,,20485,,8765,,11715,
13,New Brunswick,Age characteristics,   80 to 84 years,,16200,,6280,,9920,
13,New Brunswick,Age characteristics,   85 years and over,,14105,,4255,,9850,
13,New Brunswick,Age characteristics,Median age of the population,5,41.5,,40.7,,42.3,
13,New Brunswick,Age characteristics,% of the population aged 15 and over,,83.8,,82.9,,84.6,
13,New Brunswick,Common-law status characteristics,Total population 15 years and over,6,611745,,294845,,316900,
13,New Brunswick,Common-law status characteristics,   Not in a common-law relationship,,550075,,264075,,286000,
13,New Brunswick,Common-law status characteristics,   In a common-law relationship,,61670,,30770,,30900,
13,New Brunswick,Legal marital status characteristics,Total population 15 years and over,7,611745,,294840,,316905,
13,New Brunswick,Legal marital status characteristics,   Never legally married (single),8,197350,,104150,,93200,
13,New Brunswick,Legal marital status characteristics,   Legally married (and not separated),9,306025,,153075,,152955,
13,New Brunswick,Legal marital status characteristics,"   Separated, but still legally married",10,24620,,11225,,13395,
13,New Brunswick,Legal marital status characteristics,   Divorced,11,41150,,18530,,22620,
13,New Brunswick,Legal marital status characteristics,   Widowed,12,42595,,7860,,34735,
13,New Brunswick,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,13,295960,,,,,
13,New Brunswick,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,,71.1,,,,,
